SEASON,PLAYER_NAME,POS,AGE,EXP,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,STL,BLK,TO,PF
2019,Corey Brewer,SF,32.0,12.0,16.866666666666664,2.0,4.7,0.5,1.5666666666666667,1.0666666666666667,1.5333333333333332,0.7666666666666666,1.6666666666666667,1.3,1.1666666666666667,0.2333333333333333,0.7333333333333334,2.1
2019,Cory Joseph,PG,27.0,8.0,25.2,2.8,6.7,0.7,2.1,0.4,0.5,0.5,2.9,3.9,1.1,0.3,1.0,1.6
2019,Courtney Lee,SG,33.0,11.0,12.700000000000001,1.6333333333333335,3.8000000000000003,0.4666666666666666,1.5666666666666667,0.46666666666666673,0.7000000000000001,0.3,1.4000000000000001,1.1333333333333335,0.6333333333333333,0.10000000000000002,0.4000000000000001,0.9666666666666667
2019,Cristiano Felicio,C,26.0,4.0,12.4,1.6,3.0,0.0,0.1,0.8,1.2,1.3,2.3,0.6,0.2,0.1,0.6,1.2
2019,D'Angelo Russell,PG,22.0,4.0,30.2,8.1,18.7,2.9,7.8,2.0,2.5,0.7,3.2,7.0,1.2,0.2,3.1,1.7
2019,D.J. Augustin,PG,31.0,11.0,28.0,3.9,8.4,1.6,3.8,2.2,2.6,0.5,2.0,5.3,0.6,0.0,1.6,1.4
2019,D.J. Stephens,SG,28.0,2.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2019,D.J. Wilson,PF,22.0,2.0,18.4,2.2,5.2,1.0,2.6,0.5,1.0,0.9,3.7,1.1,0.4,0.4,0.7,1.8
2019,DaQuan Jeffries,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Dairis Bertans,SG,29.0,1.0,13.9,1.0,3.9,0.8,2.8,0.0,0.0,0.2,0.6,0.8,0.1,0.0,0.2,0.6
2019,Dakota Mathias,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Damian Jones,C,23.0,3.0,17.1,2.2,3.1,0.0,0.0,1.0,1.5,1.3,1.8,1.2,0.5,1.0,0.7,2.6
2019,Damian Lillard,PG,28.0,7.0,35.5,8.5,19.2,3.0,8.0,5.9,6.4,0.9,3.8,6.9,1.1,0.4,2.7,1.9
2019,Damion Lee,SG,26.0,2.0,11.7,1.8,4.0,0.8,2.1,0.6,0.7,0.3,1.8,0.4,0.4,0.0,0.3,0.9
2019,Damyean Dotson,SG,24.0,2.0,27.5,4.0,9.6,1.7,4.7,1.0,1.3,0.5,3.1,1.8,0.8,0.1,1.0,1.8
2019,Daniel Gafford,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Daniel Hamilton,SG,23.0,2.0,10.7,1.2,3.2,0.4,1.2,0.2,0.3,0.5,1.9,1.2,0.3,0.1,0.8,1.0
2019,Daniel Oturu,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Daniel Theis,C,26.0,2.0,13.8,2.2,4.0,0.4,1.0,0.8,1.2,1.3,2.1,1.0,0.3,0.6,0.5,2.4
2019,Danilo Gallinari,SF,30.0,10.0,30.3,6.0,13.0,2.4,5.5,5.4,6.0,0.8,5.3,2.6,0.7,0.3,1.5,1.9
2019,Danny Green,SG,31.0,10.0,27.7,3.7,7.9,2.5,5.4,0.5,0.6,0.8,3.2,1.6,0.9,0.7,0.9,2.1
2019,Dante Cunningham,PF,31.0,10.0,14.5,1.2,2.5,0.5,1.0,0.2,0.3,0.8,2.2,0.8,0.4,0.2,0.3,1.1
2019,Dante Exum,PG,23.0,4.0,15.8,2.4,5.7,0.4,1.5,1.6,2.0,0.4,1.2,2.6,0.3,0.1,1.2,1.6
2019,Danuel House Jr.,SF,25.0,3.0,25.1,3.0,6.5,1.9,4.6,1.4,1.8,0.6,2.9,1.0,0.5,0.3,0.9,2.1
2019,Dario Saric,PF,24.0,3.0,26.46666666666667,3.766666666666667,9.033333333333333,1.5,4.366666666666667,1.7333333333333334,2.0,1.5666666666666667,4.333333333333333,1.7,0.5,0.13333333333333333,1.4000000000000001,2.4333333333333336
2019,Darius Bazley,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Darius Garland,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Darius Miller,SF,28.0,5.0,25.5,2.7,7.0,1.9,5.3,0.8,1.0,0.2,1.7,2.1,0.6,0.3,0.9,2.4
2019,Darren Collison,PG,31.0,10.0,28.2,4.1,8.7,1.0,2.6,2.1,2.5,0.5,2.6,6.0,1.4,0.1,1.6,1.8
2019,Daryl Macon,SG,23.0,1.0,11.3,1.3,3.4,0.6,1.4,0.5,0.9,0.3,1.3,0.9,0.1,0.0,0.8,1.0
2019,David Nwaba,SF,26.0,3.0,19.3,2.5,5.1,0.5,1.5,1.1,1.7,0.8,2.4,1.1,0.7,0.3,0.6,2.1
2019,Davis Bertans,PF,26.0,3.0,21.5,2.7,6.0,1.9,4.4,0.7,0.8,0.3,3.2,1.3,0.5,0.4,0.6,1.8
2019,Davon Reed,SG,23.0,2.0,4.7,0.5,1.2,0.2,0.4,0.0,0.0,0.2,0.4,0.3,0.1,0.0,0.1,0.3
2019,De'Aaron Fox,PG,21.0,2.0,31.4,6.2,13.6,1.1,2.9,3.7,5.1,0.5,3.2,7.3,1.6,0.6,2.8,2.5
2019,De'Andre Hunter,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,De'Anthony Melton,PG,20.0,1.0,19.7,2.0,5.1,0.6,1.9,0.4,0.6,0.5,2.2,3.2,1.4,0.5,1.5,2.3
2019,DeAndre Jordan,C,30.0,11.0,28.900000000000002,4.133333333333333,6.5,0.0,0.0,2.7000000000000006,3.766666666666667,3.3000000000000003,9.433333333333334,2.433333333333333,0.6,1.1,2.2,2.3666666666666667
